equilibrium_id,regret,welfare,mixture_dict,mixture_vector,support,support_size,is_pure_strategy,dominant_strategy,dominant_probability
1,0.0,27808.798314751166,"{'MELO_0_100': 1.0, 'MELO_100_0': 0.0}","[1.0, 0.0]",['MELO_0_100'],1,True,MELO_0_100,1.0
2,0.0,22781.97025090088,"{'MELO_0_100': 0.0, 'MELO_100_0': 1.0}","[0.0, 1.0]",['MELO_100_0'],1,True,MELO_100_0,1.0
3,0.00013646669685840607,21557.775788172763,"{'MELO_0_100': 0.44370508193969727, 'MELO_100_0': 0.5562949776649475}","[0.44370508193969727, 0.5562949776649475]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5562949776649475
