equilibrium_id,regret,welfare,mixture_dict,mixture_vector,support,support_size,is_pure_strategy,dominant_strategy,dominant_probability
1,0.0,30701.72411734009,"{'MELO_0_100': 1.0, 'MELO_100_0': 0.0}","[1.0, 0.0]",['MELO_0_100'],1,True,MELO_0_100,1.0
2,0.0001063123345375061,22720.730760944796,"{'MELO_0_100': 0.30000001192092896, 'MELO_100_0': 0.699999988079071}","[0.30000001192092896, 0.699999988079071]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.699999988079071
3,0.00015244260430335999,22686.02049607206,"{'MELO_0_100': 0.3067062497138977, 'MELO_100_0': 0.6932937502861023}","[0.3067062497138977, 0.6932937502861023]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6932937502861023
4,0.00022146105766296387,27532.03790897824,"{'MELO_0_100': 0.6000000238418579, 'MELO_100_0': 0.4000000059604645}","[0.6000000238418579, 0.4000000059604645]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.6000000238418579
5,0.00048146024346351624,22496.9314313894,"{'MELO_0_100': 0.3478304147720337, 'MELO_100_0': 0.6521695852279663}","[0.3478304147720337, 0.6521695852279663]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6521695852279663
6,0.0005279555916786194,22478.750158968087,"{'MELO_0_100': 0.3528602719306946, 'MELO_100_0': 0.6471397280693054}","[0.3528602719306946, 0.6471397280693054]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6471397280693054
7,0.0005364380776882172,27802.952528426173,"{'MELO_0_100': 0.6106444597244263, 'MELO_100_0': 0.3893555700778961}","[0.6106444597244263, 0.3893555700778961]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.6106444597244263
8,0.0005885418504476547,22458.32568117415,"{'MELO_0_100': 0.35918062925338745, 'MELO_100_0': 0.6408193707466125}","[0.35918062925338745, 0.6408193707466125]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6408193707466125
