equilibrium_id,regret,welfare,mixture_dict,mixture_vector,support,support_size,is_pure_strategy,dominant_strategy,dominant_probability
1,0.0,31221.29371783447,"{'MELO_0_100': 1.0, 'MELO_100_0': 0.0}","[1.0, 0.0]",['MELO_0_100'],1,True,MELO_0_100,1.0
2,0.000504644587635994,21584.931432538917,"{'MELO_0_100': 0.34247809648513794, 'MELO_100_0': 0.6575219035148621}","[0.34247809648513794, 0.6575219035148621]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6575219035148621
3,0.0005179401487112045,21572.85572424573,"{'MELO_0_100': 0.3349681794643402, 'MELO_100_0': 0.6650318503379822}","[0.3349681794643402, 0.6650318503379822]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6650318503379822
4,0.0005560815334320068,21566.70626206606,"{'MELO_0_100': 0.32927456498146057, 'MELO_100_0': 0.6707254648208618}","[0.32927456498146057, 0.6707254648208618]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6707254648208618
