equilibrium_id,regret,welfare,mixture_dict,mixture_vector,support,support_size,is_pure_strategy,dominant_strategy,dominant_probability
1,0.0,33124.33513916015,"{'MELO_0_100': 1.0, 'MELO_100_0': 0.0}","[1.0, 0.0]",['MELO_0_100'],1,True,MELO_0_100,1.0
2,0.0,23731.147971191407,"{'MELO_0_100': 0.0, 'MELO_100_0': 1.0}","[0.0, 1.0]",['MELO_100_0'],1,True,MELO_100_0,1.0
3,0.0,24836.72491602117,"{'MELO_0_100': 0.5, 'MELO_100_0': 0.5}","[0.5, 0.5]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5
4,0.0,32212.236608215826,"{'MELO_0_100': 0.800000011920929, 'MELO_100_0': 0.20000000298023224}","[0.800000011920929, 0.20000000298023224]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.800000011920929
5,0.0,22644.69618945617,"{'MELO_0_100': 0.20000000298023224, 'MELO_100_0': 0.800000011920929}","[0.20000000298023224, 0.800000011920929]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.800000011920929
6,0.0,31220.34337408868,"{'MELO_0_100': 0.699999988079071, 'MELO_100_0': 0.30000001192092896}","[0.699999988079071, 0.30000001192092896]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.699999988079071
7,0.0,29115.43516219565,"{'MELO_0_100': 0.6000000238418579, 'MELO_100_0': 0.4000000059604645}","[0.6000000238418579, 0.4000000059604645]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.6000000238418579
8,0.0,22045.483423087357,"{'MELO_0_100': 0.30000001192092896, 'MELO_100_0': 0.699999988079071}","[0.30000001192092896, 0.699999988079071]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.699999988079071
9,0.0,22040.788612621487,"{'MELO_0_100': 0.4000000059604645, 'MELO_100_0': 0.6000000238418579}","[0.4000000059604645, 0.6000000238418579]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6000000238418579
10,0.0,22231.52487072522,"{'MELO_0_100': 0.26633429527282715, 'MELO_100_0': 0.7336657047271729}","[0.26633429527282715, 0.7336657047271729]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.7336657047271729
11,0.0,23530.81529213649,"{'MELO_0_100': 0.043028391897678375, 'MELO_100_0': 0.9569716453552246}","[0.043028391897678375, 0.9569716453552246]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.9569716453552246
12,0.0,22223.33216793315,"{'MELO_0_100': 0.41597774624824524, 'MELO_100_0': 0.5840222835540771}","[0.41597774624824524, 0.5840222835540771]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5840222835540771
13,0.0,26636.70166718694,"{'MELO_0_100': 0.5377429127693176, 'MELO_100_0': 0.4622570872306824}","[0.5377429127693176, 0.4622570872306824]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5377429127693176
14,0.0,21938.291329908017,"{'MELO_0_100': 0.38522523641586304, 'MELO_100_0': 0.614774763584137}","[0.38522523641586304, 0.614774763584137]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.614774763584137
15,0.0,28792.064483649396,"{'MELO_0_100': 0.5901248455047607, 'MELO_100_0': 0.40987518429756165}","[0.5901248455047607, 0.40987518429756165]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5901248455047607
16,0.0,26644.668745444003,"{'MELO_0_100': 0.5379124283790588, 'MELO_100_0': 0.46208757162094116}","[0.5379124283790588, 0.46208757162094116]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5379124283790588
17,0.0,22483.093130481782,"{'MELO_0_100': 0.2256348580121994, 'MELO_100_0': 0.7743651270866394}","[0.2256348580121994, 0.7743651270866394]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.7743651270866394
18,0.0,22793.455991043797,"{'MELO_0_100': 0.44489774107933044, 'MELO_100_0': 0.5551022887229919}","[0.44489774107933044, 0.5551022887229919]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5551022887229919
19,0.0,24273.49675627923,"{'MELO_0_100': 0.4873977601528168, 'MELO_100_0': 0.5126022696495056}","[0.4873977601528168, 0.5126022696495056]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5126022696495056
20,0.0,23032.267537871885,"{'MELO_0_100': 0.13624684512615204, 'MELO_100_0': 0.8637531399726868}","[0.13624684512615204, 0.8637531399726868]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.8637531399726868
21,0.0,21877.214186549256,"{'MELO_0_100': 0.3512726426124573, 'MELO_100_0': 0.6487273573875427}","[0.3512726426124573, 0.6487273573875427]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6487273573875427
22,0.0,32785.92654189757,"{'MELO_0_100': 0.9034152030944824, 'MELO_100_0': 0.09658482670783997}","[0.9034152030944824, 0.09658482670783997]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.9034152030944824
