equilibrium_id,regret,welfare,mixture_dict,mixture_vector,support,support_size,is_pure_strategy,dominant_strategy,dominant_probability
1,0.0,30819.138361816404,"{'MELO_0_100': 1.0, 'MELO_100_0': 0.0}","[1.0, 0.0]",['MELO_0_100'],1,True,MELO_0_100,1.0
2,0.0,25790.65008789063,"{'MELO_0_100': 0.0, 'MELO_100_0': 1.0}","[0.0, 1.0]",['MELO_100_0'],1,True,MELO_100_0,1.0
3,0.00013256072998046875,25786.986399320816,"{'MELO_0_100': 0.0005373347667045891, 'MELO_100_0': 0.9994626641273499}","[0.0005373347667045891, 0.9994626641273499]",['MELO_100_0'],1,True,MELO_100_0,0.9994626641273499
4,0.00014076847583055496,22160.507017910593,"{'MELO_0_100': 0.43667516112327576, 'MELO_100_0': 0.5633248686790466}","[0.43667516112327576, 0.5633248686790466]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5633248686790466
