equilibrium_id,regret,welfare,mixture_dict,mixture_vector,support,support_size,is_pure_strategy,dominant_strategy,dominant_probability
1,0.0,35656.494140625,"{'MELO_0_100': 1.0, 'MELO_100_0': 0.0}","[1.0, 0.0]",['MELO_0_100'],1,True,MELO_0_100,1.0
2,0.0,23547.79072265625,"{'MELO_0_100': 0.0, 'MELO_100_0': 1.0}","[0.0, 1.0]",['MELO_100_0'],1,True,MELO_100_0,1.0
3,0.0,22089.282498446377,"{'MELO_0_100': 0.5, 'MELO_100_0': 0.5}","[0.5, 0.5]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5
4,0.0,33366.58662663803,"{'MELO_0_100': 0.800000011920929, 'MELO_100_0': 0.20000000298023224}","[0.800000011920929, 0.20000000298023224]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.800000011920929
5,0.0,21333.9278052693,"{'MELO_0_100': 0.20000000298023224, 'MELO_100_0': 0.800000011920929}","[0.20000000298023224, 0.800000011920929]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.800000011920929
6,0.0,31308.613030014196,"{'MELO_0_100': 0.699999988079071, 'MELO_100_0': 0.30000001192092896}","[0.699999988079071, 0.30000001192092896]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.699999988079071
7,0.0,27826.44972466776,"{'MELO_0_100': 0.6000000238418579, 'MELO_100_0': 0.4000000059604645}","[0.6000000238418579, 0.4000000059604645]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.6000000238418579
8,0.0,19978.340050708324,"{'MELO_0_100': 0.30000001192092896, 'MELO_100_0': 0.699999988079071}","[0.30000001192092896, 0.699999988079071]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.699999988079071
9,0.0,19204.66054993123,"{'MELO_0_100': 0.4000000059604645, 'MELO_100_0': 0.6000000238418579}","[0.4000000059604645, 0.6000000238418579]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6000000238418579
10,0.0,34399.28199169371,"{'MELO_0_100': 0.8719806671142578, 'MELO_100_0': 0.128019317984581}","[0.8719806671142578, 0.128019317984581]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.8719806671142578
11,0.0,20126.25557414779,"{'MELO_0_100': 0.2888347804546356, 'MELO_100_0': 0.7111652493476868}","[0.2888347804546356, 0.7111652493476868]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.7111652493476868
12,0.0,21812.18606177072,"{'MELO_0_100': 0.16277621686458588, 'MELO_100_0': 0.8372237682342529}","[0.16277621686458588, 0.8372237682342529]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.8372237682342529
13,0.0,22053.27680395605,"{'MELO_0_100': 0.14311392605304718, 'MELO_100_0': 0.856886088848114}","[0.14311392605304718, 0.856886088848114]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.856886088848114
14,0.0,19225.398454893042,"{'MELO_0_100': 0.40525197982788086, 'MELO_100_0': 0.5947480201721191}","[0.40525197982788086, 0.5947480201721191]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5947480201721191
15,0.0,25234.397208552036,"{'MELO_0_100': 0.5519174337387085, 'MELO_100_0': 0.4480825960636139}","[0.5519174337387085, 0.4480825960636139]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5519174337387085
