equilibrium_id,regret,welfare,mixture_dict,mixture_vector,support,support_size,is_pure_strategy,dominant_strategy,dominant_probability
1,0.0,34322.75068603516,"{'MELO_0_100': 1.0, 'MELO_100_0': 0.0}","[1.0, 0.0]",['MELO_0_100'],1,True,MELO_0_100,1.0
2,3.825221210718155e-05,23928.64724181664,"{'MELO_0_100': 0.48871681094169617, 'MELO_100_0': 0.5112831592559814}","[0.48871681094169617, 0.5112831592559814]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5112831592559814
3,4.8084184527397156e-05,22752.84161404404,"{'MELO_0_100': 0.45494741201400757, 'MELO_100_0': 0.5450525283813477}","[0.45494741201400757, 0.5450525283813477]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5450525283813477
4,6.621703505516052e-05,23752.862088412236,"{'MELO_0_100': 0.4844226837158203, 'MELO_100_0': 0.5155772566795349}","[0.4844226837158203, 0.5155772566795349]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5155772566795349
5,7.343851029872894e-05,23696.702606409403,"{'MELO_0_100': 0.4830141067504883, 'MELO_100_0': 0.5169859528541565}","[0.4830141067504883, 0.5169859528541565]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5169859528541565
6,8.198246359825134e-05,24420.113548916903,"{'MELO_0_100': 0.5, 'MELO_100_0': 0.5}","[0.5, 0.5]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5
7,8.628331124782562e-05,23573.716948875368,"{'MELO_0_100': 0.47985854744911194, 'MELO_100_0': 0.5201414823532104}","[0.47985854744911194, 0.5201414823532104]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5201414823532104
8,8.688028901815414e-05,23566.85090663916,"{'MELO_0_100': 0.47967925667762756, 'MELO_100_0': 0.5203206539154053}","[0.47967925667762756, 0.5203206539154053]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5203206539154053
9,0.00015365798026323318,24641.843419673787,"{'MELO_0_100': 0.5048362016677856, 'MELO_100_0': 0.49516385793685913}","[0.5048362016677856, 0.49516385793685913]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5048362016677856
10,0.00028835516422986984,24994.093348242495,"{'MELO_0_100': 0.5123024582862854, 'MELO_100_0': 0.4876975417137146}","[0.5123024582862854, 0.4876975417137146]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5123024582862854
