equilibrium_id,regret,welfare,mixture_dict,mixture_vector,support,support_size,is_pure_strategy,dominant_strategy,dominant_probability
1,0.0,26033.565972801745,"{'MELO_0_100': 1.0, 'MELO_100_0': 0.0}","[1.0, 0.0]",['MELO_0_100'],1,True,MELO_0_100,1.0
2,0.0,22677.760116641883,"{'MELO_0_100': 0.0, 'MELO_100_0': 1.0}","[0.0, 1.0]",['MELO_100_0'],1,True,MELO_100_0,1.0
3,4.2498111724853516e-05,21766.65480910326,"{'MELO_0_100': 0.24633575975894928, 'MELO_100_0': 0.7536642551422119}","[0.24633575975894928, 0.7536642551422119]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.7536642551422119
4,0.000959392637014389,21568.09231030407,"{'MELO_0_100': 0.48630544543266296, 'MELO_100_0': 0.5136945843696594}","[0.48630544543266296, 0.5136945843696594]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5136945843696594
5,0.000968356616795063,21668.86502221998,"{'MELO_0_100': 0.4920634329319, 'MELO_100_0': 0.5079365968704224}","[0.4920634329319, 0.5079365968704224]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5079365968704224
6,0.0009802430868148804,21359.205046586587,"{'MELO_0_100': 0.4724831283092499, 'MELO_100_0': 0.5275169014930725}","[0.4724831283092499, 0.5275169014930725]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5275169014930725
7,0.0009995875880122185,21819.569465645247,"{'MELO_0_100': 0.5, 'MELO_100_0': 0.5}","[0.5, 0.5]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5
