equilibrium_id,regret,welfare,mixture_dict,mixture_vector,support,support_size,is_pure_strategy,dominant_strategy,dominant_probability
1,0.0,30646.203210319516,"{'MELO_0_100': 1.0, 'MELO_100_0': 0.0}","[1.0, 0.0]",['MELO_0_100'],1,True,MELO_0_100,1.0
2,5.5400654673576355e-05,21340.63093271779,"{'MELO_0_100': 0.4224576950073242, 'MELO_100_0': 0.5775423049926758}","[0.4224576950073242, 0.5775423049926758]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5775423049926758
3,6.845034658908844e-05,24188.440981539883,"{'MELO_0_100': 0.5163991451263428, 'MELO_100_0': 0.48360079526901245}","[0.5163991451263428, 0.48360079526901245]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5163991451263428
4,8.129887282848358e-05,23910.52008874882,"{'MELO_0_100': 0.5100034475326538, 'MELO_100_0': 0.4899965524673462}","[0.5100034475326538, 0.4899965524673462]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5100034475326538
5,0.0001520756632089615,21442.473286874265,"{'MELO_0_100': 0.42961350083351135, 'MELO_100_0': 0.5703864693641663}","[0.42961350083351135, 0.5703864693641663]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5703864693641663
6,0.0002612350508570671,23487.969539935028,"{'MELO_0_100': 0.5, 'MELO_100_0': 0.5}","[0.5, 0.5]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5
7,0.000284033827483654,21645.84566953779,"{'MELO_0_100': 0.44117963314056396, 'MELO_100_0': 0.5588204264640808}","[0.44117963314056396, 0.5588204264640808]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5588204264640808
8,0.00036477483808994293,21844.759373121058,"{'MELO_0_100': 0.45038771629333496, 'MELO_100_0': 0.5496122241020203}","[0.45038771629333496, 0.5496122241020203]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5496122241020203
9,0.00039363838732242584,24694.073922766987,"{'MELO_0_100': 0.5278850793838501, 'MELO_100_0': 0.4721149206161499}","[0.5278850793838501, 0.4721149206161499]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5278850793838501
10,0.0004071192815899849,22930.700266729888,"{'MELO_0_100': 0.48585739731788635, 'MELO_100_0': 0.514142632484436}","[0.48585739731788635, 0.514142632484436]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.514142632484436
11,0.00041802041232585907,22063.011355670158,"{'MELO_0_100': 0.459036648273468, 'MELO_100_0': 0.5409634113311768}","[0.459036648273468, 0.5409634113311768]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5409634113311768
12,0.0004442678764462471,22280.06849543827,"{'MELO_0_100': 0.4666315019130707, 'MELO_100_0': 0.5333685278892517}","[0.4666315019130707, 0.5333685278892517]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5333685278892517
13,0.000467522069811821,21122.352259068906,"{'MELO_0_100': 0.4000000059604645, 'MELO_100_0': 0.6000000238418579}","[0.4000000059604645, 0.6000000238418579]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6000000238418579
14,0.0007805172353982925,25169.95670099501,"{'MELO_0_100': 0.5387524366378784, 'MELO_100_0': 0.4612475037574768}","[0.5387524366378784, 0.4612475037574768]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5387524366378784
15,0.0009662825614213943,21044.949394865933,"{'MELO_0_100': 0.38494667410850525, 'MELO_100_0': 0.6150533556938171}","[0.38494667410850525, 0.6150533556938171]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6150533556938171
