equilibrium_id,regret,welfare,mixture_dict,mixture_vector,support,support_size,is_pure_strategy,dominant_strategy,dominant_probability
1,-0.001953125,31506.577388946353,"{'MELO_0_100': 0.7728305459022522, 'MELO_100_0': 0.22716951370239258}","[0.7728305459022522, 0.22716951370239258]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.7728305459022522
2,-0.001953125,21729.018816210006,"{'MELO_0_100': 0.3277554512023926, 'MELO_100_0': 0.6722446084022522}","[0.3277554512023926, 0.6722446084022522]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6722446084022522
3,-0.001953125,21602.62271852803,"{'MELO_0_100': 0.39269527792930603, 'MELO_100_0': 0.6073048114776611}","[0.39269527792930603, 0.6073048114776611]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6073048114776611
4,-0.001953125,25975.72520593848,"{'MELO_0_100': 0.5395377278327942, 'MELO_100_0': 0.4604623317718506}","[0.5395377278327942, 0.4604623317718506]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5395377278327942
5,-0.001953125,21975.849216135564,"{'MELO_0_100': 0.2790152132511139, 'MELO_100_0': 0.7209848165512085}","[0.2790152132511139, 0.7209848165512085]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.7209848165512085
6,-0.001953125,23017.756983559884,"{'MELO_0_100': 0.4750891923904419, 'MELO_100_0': 0.5249108672142029}","[0.4750891923904419, 0.5249108672142029]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5249108672142029
7,0.0,32458.58051025391,"{'MELO_0_100': 1.0, 'MELO_100_0': 0.0}","[1.0, 0.0]",['MELO_0_100'],1,True,MELO_0_100,1.0
8,0.0,23056.33373535156,"{'MELO_0_100': 0.0, 'MELO_100_0': 1.0}","[0.0, 1.0]",['MELO_100_0'],1,True,MELO_100_0,1.0
9,0.0,24041.21457142223,"{'MELO_0_100': 0.5, 'MELO_100_0': 0.5}","[0.5, 0.5]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5
10,0.0,31693.771849242086,"{'MELO_0_100': 0.800000011920929, 'MELO_100_0': 0.20000000298023224}","[0.800000011920929, 0.20000000298023224]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.800000011920929
11,0.0,22365.157379327913,"{'MELO_0_100': 0.20000000298023224, 'MELO_100_0': 0.800000011920929}","[0.20000000298023224, 0.800000011920929]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.800000011920929
12,0.0,30771.448275331946,"{'MELO_0_100': 0.699999988079071, 'MELO_100_0': 0.30000001192092896}","[0.699999988079071, 0.30000001192092896]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.699999988079071
13,0.0,28558.78765023584,"{'MELO_0_100': 0.6000000238418579, 'MELO_100_0': 0.4000000059604645}","[0.6000000238418579, 0.4000000059604645]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.6000000238418579
14,0.0,21866.153939997264,"{'MELO_0_100': 0.30000001192092896, 'MELO_100_0': 0.699999988079071}","[0.30000001192092896, 0.699999988079071]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.699999988079071
15,0.0,21628.27655419985,"{'MELO_0_100': 0.4000000059604645, 'MELO_100_0': 0.6000000238418579}","[0.4000000059604645, 0.6000000238418579]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6000000238418579
16,0.0,30008.1121711602,"{'MELO_0_100': 0.6540937423706055, 'MELO_100_0': 0.34590622782707214}","[0.6540937423706055, 0.34590622782707214]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.6540937423706055
17,0.0,32440.402412330805,"{'MELO_0_100': 0.9923776388168335, 'MELO_100_0': 0.007622327655553818}","[0.9923776388168335, 0.007622327655553818]","['MELO_0_100', 'MELO_100_0']",2,True,MELO_0_100,0.9923776388168335
18,0.0,30263.01447869754,"{'MELO_0_100': 0.6673587560653687, 'MELO_100_0': 0.33264124393463135}","[0.6673587560653687, 0.33264124393463135]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.6673587560653687
19,0.0,27040.762375393664,"{'MELO_0_100': 0.5618975758552551, 'MELO_100_0': 0.43810248374938965}","[0.5618975758552551, 0.43810248374938965]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5618975758552551
20,0.0,31378.05157222175,"{'MELO_0_100': 0.7567688822746277, 'MELO_100_0': 0.2432311624288559}","[0.7567688822746277, 0.2432311624288559]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.7567688822746277
21,0.0,28846.210606496,"{'MELO_0_100': 0.6087603569030762, 'MELO_100_0': 0.3912396728992462}","[0.6087603569030762, 0.3912396728992462]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.6087603569030762
22,0.0,22592.80718051878,"{'MELO_0_100': 0.46205613017082214, 'MELO_100_0': 0.5379438400268555}","[0.46205613017082214, 0.5379438400268555]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5379438400268555
23,0.0,25537.24212523834,"{'MELO_0_100': 0.5307294130325317, 'MELO_100_0': 0.4692705571651459}","[0.5307294130325317, 0.4692705571651459]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5307294130325317
24,0.0,32451.23232743872,"{'MELO_0_100': 0.9968924522399902, 'MELO_100_0': 0.0031075263395905495}","[0.9968924522399902, 0.0031075263395905495]","['MELO_0_100', 'MELO_100_0']",2,True,MELO_0_100,0.9968924522399902
25,0.0,21596.242863023832,"{'MELO_0_100': 0.39000168442726135, 'MELO_100_0': 0.609998345375061}","[0.39000168442726135, 0.609998345375061]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.609998345375061
26,0.0,22571.460667331212,"{'MELO_0_100': 0.46132537722587585, 'MELO_100_0': 0.5386746525764465}","[0.46132537722587585, 0.5386746525764465]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5386746525764465
27,0.0,24834.60419965689,"{'MELO_0_100': 0.5166244506835938, 'MELO_100_0': 0.48337551951408386}","[0.5166244506835938, 0.48337551951408386]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5166244506835938
28,0.0,27097.393878778814,"{'MELO_0_100': 0.5631527304649353, 'MELO_100_0': 0.4368472993373871}","[0.5631527304649353, 0.4368472993373871]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5631527304649353
29,0.0,22124.121255462163,"{'MELO_0_100': 0.44309473037719727, 'MELO_100_0': 0.5569052696228027}","[0.44309473037719727, 0.5569052696228027]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5569052696228027
30,0.0,22838.135987953305,"{'MELO_0_100': 0.07513073831796646, 'MELO_100_0': 0.9248692393302917}","[0.07513073831796646, 0.9248692393302917]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.9248692393302917
31,0.0,23811.606459347968,"{'MELO_0_100': 0.49488404393196106, 'MELO_100_0': 0.5051159858703613}","[0.49488404393196106, 0.5051159858703613]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5051159858703613
32,0.0,22384.531036602995,"{'MELO_0_100': 0.45448487997055054, 'MELO_100_0': 0.5455151200294495}","[0.45448487997055054, 0.5455151200294495]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5455151200294495
33,0.0,21627.77756876452,"{'MELO_0_100': 0.3998863101005554, 'MELO_100_0': 0.6001136302947998}","[0.3998863101005554, 0.6001136302947998]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6001136302947998
34,0.0,23020.59625771371,"{'MELO_0_100': 0.013250160031020641, 'MELO_100_0': 0.9867498278617859}","[0.013250160031020641, 0.9867498278617859]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.9867498278617859
35,0.0,21618.86780226585,"{'MELO_0_100': 0.39771416783332825, 'MELO_100_0': 0.6022858023643494}","[0.39771416783332825, 0.6022858023643494]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6022858023643494
36,0.0,23485.811127670087,"{'MELO_0_100': 0.48724067211151123, 'MELO_100_0': 0.5127593278884888}","[0.48724067211151123, 0.5127593278884888]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5127593278884888
37,0.0,24001.498867165606,"{'MELO_0_100': 0.4991282522678375, 'MELO_100_0': 0.5008717775344849}","[0.4991282522678375, 0.5008717775344849]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5008717775344849
38,0.0,21746.372529880562,"{'MELO_0_100': 0.41721591353416443, 'MELO_100_0': 0.582784116268158}","[0.41721591353416443, 0.582784116268158]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.582784116268158
