equilibrium_id,regret,welfare,mixture_dict,mixture_vector,support,support_size,is_pure_strategy,dominant_strategy,dominant_probability
1,0.0,34071.57037597657,"{'MELO_0_100': 1.0, 'MELO_100_0': 0.0}","[1.0, 0.0]",['MELO_0_100'],1,True,MELO_0_100,1.0
2,0.00029821135103702545,23192.834556581893,"{'MELO_0_100': 0.4221424460411072, 'MELO_100_0': 0.5778575539588928}","[0.4221424460411072, 0.5778575539588928]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5778575539588928
3,0.00032755546271800995,23070.278540188254,"{'MELO_0_100': 0.40581148862838745, 'MELO_100_0': 0.5941885113716125}","[0.40581148862838745, 0.5941885113716125]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5941885113716125
