equilibrium_id,regret,welfare,mixture_dict,mixture_vector,support,support_size,is_pure_strategy,dominant_strategy,dominant_probability
1,0.0,27954.293446655276,"{'MELO_0_100': 1.0, 'MELO_100_0': 0.0}","[1.0, 0.0]",['MELO_0_100'],1,True,MELO_0_100,1.0
2,0.0,23635.275068359373,"{'MELO_0_100': 0.0, 'MELO_100_0': 1.0}","[0.0, 1.0]",['MELO_100_0'],1,True,MELO_100_0,1.0
3,1.1920928955078125e-05,23635.010911996338,"{'MELO_0_100': 4.222428469802253e-05, 'MELO_100_0': 0.999957799911499}","[4.222428469802253e-05, 0.999957799911499]",['MELO_100_0'],1,True,MELO_100_0,0.999957799911499
4,4.518870264291763e-05,21611.34827146205,"{'MELO_0_100': 0.4770432710647583, 'MELO_100_0': 0.5229567289352417}","[0.4770432710647583, 0.5229567289352417]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5229567289352417
5,5.960091948509216e-05,24527.67185280554,"{'MELO_0_100': 0.6000000238418579, 'MELO_100_0': 0.4000000059604645}","[0.6000000238418579, 0.4000000059604645]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.6000000238418579
6,9.795092046260834e-05,24425.134497123647,"{'MELO_0_100': 0.5946518182754517, 'MELO_100_0': 0.4053482413291931}","[0.5946518182754517, 0.4053482413291931]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5946518182754517
7,0.00013221334666013718,21737.305667459063,"{'MELO_0_100': 0.4832781255245209, 'MELO_100_0': 0.5167219042778015}","[0.4832781255245209, 0.5167219042778015]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5167219042778015
8,0.0002799173817038536,21984.396670059534,"{'MELO_0_100': 0.49440398812294006, 'MELO_100_0': 0.5055959820747375}","[0.49440398812294006, 0.5055959820747375]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5055959820747375
9,0.00031787436455488205,22055.60513734978,"{'MELO_0_100': 0.4974171221256256, 'MELO_100_0': 0.502582848072052}","[0.4974171221256256, 0.502582848072052]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.502582848072052
10,0.0003238655626773834,22067.171072773646,"{'MELO_0_100': 0.49790021777153015, 'MELO_100_0': 0.5020998120307922}","[0.49790021777153015, 0.5020998120307922]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5020998120307922
