equilibrium_id,regret,welfare,mixture_dict,mixture_vector,support,support_size,is_pure_strategy,dominant_strategy,dominant_probability
1,0.0,32473.188498229974,"{'MELO_0_100': 1.0, 'MELO_100_0': 0.0}","[1.0, 0.0]",['MELO_0_100'],1,True,MELO_0_100,1.0
2,4.126504063606262e-05,22676.21619281654,"{'MELO_0_100': 0.41635918617248535, 'MELO_100_0': 0.5836408734321594}","[0.41635918617248535, 0.5836408734321594]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5836408734321594
3,5.735084414482117e-05,22579.13844334071,"{'MELO_0_100': 0.4000000059604645, 'MELO_100_0': 0.6000000238418579}","[0.4000000059604645, 0.6000000238418579]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6000000238418579
4,6.475485861301422e-05,22825.95041667343,"{'MELO_0_100': 0.43107375502586365, 'MELO_100_0': 0.568926215171814}","[0.43107375502586365, 0.568926215171814]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.568926215171814
5,6.761681288480759e-05,22564.494587981346,"{'MELO_0_100': 0.39601510763168335, 'MELO_100_0': 0.6039848923683167}","[0.39601510763168335, 0.6039848923683167]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6039848923683167
6,6.965827196836472e-05,22562.25403261814,"{'MELO_0_100': 0.3953198492527008, 'MELO_100_0': 0.6046801805496216}","[0.3953198492527008, 0.6046801805496216]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6046801805496216
7,8.954852819442749e-05,22546.952429280554,"{'MELO_0_100': 0.3895203471183777, 'MELO_100_0': 0.6104797124862671}","[0.3895203471183777, 0.6104797124862671]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6104797124862671
8,0.00010459870100021362,22540.24277384074,"{'MELO_0_100': 0.3858910799026489, 'MELO_100_0': 0.6141089200973511}","[0.3858910799026489, 0.6141089200973511]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6141089200973511
9,0.00010560452938079834,22539.89170818348,"{'MELO_0_100': 0.3856642544269562, 'MELO_100_0': 0.6143357157707214}","[0.3856642544269562, 0.6143357157707214]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6143357157707214
10,0.00012778863310813904,23047.782126816786,"{'MELO_0_100': 0.4457084536552429, 'MELO_100_0': 0.5542915463447571}","[0.4457084536552429, 0.5542915463447571]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5542915463447571
11,0.00014360807836055756,22532.41755844625,"{'MELO_0_100': 0.37811529636383057, 'MELO_100_0': 0.6218846440315247}","[0.37811529636383057, 0.6218846440315247]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6218846440315247
12,0.00016636215150356293,23162.805814763437,"{'MELO_0_100': 0.4517209231853485, 'MELO_100_0': 0.5482790470123291}","[0.4517209231853485, 0.5482790470123291]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5482790470123291
13,0.00018177740275859833,22531.79164658196,"{'MELO_0_100': 0.3718584179878235, 'MELO_100_0': 0.6281415224075317}","[0.3718584179878235, 0.6281415224075317]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6281415224075317
14,0.00018559768795967102,23217.391787613287,"{'MELO_0_100': 0.4543339014053345, 'MELO_100_0': 0.5456661581993103}","[0.4543339014053345, 0.5456661581993103]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5456661581993103
15,0.0001884717494249344,22532.108660346974,"{'MELO_0_100': 0.37085476517677307, 'MELO_100_0': 0.6291452050209045}","[0.37085476517677307, 0.6291452050209045]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6291452050209045
16,0.00019832514226436615,22532.74864960875,"{'MELO_0_100': 0.36941972374916077, 'MELO_100_0': 0.6305802464485168}","[0.36941972374916077, 0.6305802464485168]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6305802464485168
